City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Novopokrovskaya,RU,2022-04-15 00:33:57,45.9514,40.7006,43.43,93,100,13.69
160,Bereda,ES,2022-04-15 00:33:58,43.2686,-7.5406,44.01,98,12,1.34
161,Asyut,EG,2022-04-15 00:33:58,27.181,31.1837,64.09,29,0,7.0
162,Nouadhibou,MR,2022-04-15 00:33:59,20.931,-17.0347,64.38,77,0,19.57
163,Podyuga,RU,2022-04-15 00:33:59,61.095,40.8647,28.17,98,100,2.26
164,Bosaso,SO,2022-04-15 00:33:59,11.2842,49.1816,81.3,59,10,9.08
165,Marsa Matruh,EG,2022-04-15 00:34:00,31.3525,27.2453,60.04,69,100,12.91
166,Ocampo,MX,2022-04-15 00:34:00,21.65,-101.5,71.4,21,100,8.81
167,Chelmsford,GB,2022-04-15 00:34:00,51.7357,0.4696,56.86,87,100,3.13
168,Gondanglegi,ID,2022-04-15 00:34:01,-7.7479,112.0132,80.6,78,10,0.92
169,Mount Isa,AU,2022-04-15 00:34:01,-20.7333,139.5,87.57,33,12,11.5
170,Pevek,RU,2022-04-15 00:34:02,69.7008,170.3133,18.1,78,20,1.12
171,Faya,SA,2022-04-15 00:34:02,18.3851,42.4509,60.91,34,32,1.74
172,Carnarvon,AU,2022-04-15 00:34:02,-24.8667,113.6333,73.47,60,1,5.75
173,Bushehr,IR,2022-04-15 00:34:03,28.9684,50.8385,77.09,53,100,0.0
174,Bam,IR,2022-04-15 00:34:03,29.106,58.357,75.6,18,15,5.44
175,Mahebourg,MU,2022-04-15 00:34:03,-20.4081,57.7,78.26,78,40,10.36
176,Ponta Do Sol,PT,2022-04-15 00:34:04,32.6667,-17.1,63.72,83,99,5.46
177,Mitu,CO,2022-04-15 00:35:04,1.1983,-70.1733,72.99,97,100,2.51
178,Kavieng,PG,2022-04-15 00:35:04,-2.5744,150.7967,84.72,73,16,12.41
179,Touros,BR,2022-04-15 00:35:05,-5.1989,-35.4608,79.59,81,100,7.94
180,Kieta,PG,2022-04-15 00:35:05,-6.2167,155.6333,84.97,68,75,3.91
181,Mariara,VE,2022-04-15 00:35:05,10.2964,-67.7181,73.56,86,75,7.49
182,Tamandare,BR,2022-04-15 00:35:06,-8.7597,-35.1047,78.62,80,49,7.34
183,Karpathos,GR,2022-04-15 00:35:06,35.507,27.2132,51.76,71,100,5.75
184,Nuuk,GL,2022-04-15 00:35:07,64.1835,-51.7216,20.01,63,20,29.93
185,Lam Luk Ka,TH,2022-04-15 00:35:07,13.9323,100.7494,88.0,67,20,5.75
186,Saint-Augustin,CA,2022-04-15 00:35:07,51.226,-58.6502,25.95,98,90,1.7
187,Masvingo,ZW,2022-04-15 00:35:08,-20.0637,30.8277,64.35,85,53,3.98
188,Cabo San Lucas,MX,2022-04-15 00:32:44,22.8909,-109.9124,78.62,61,100,1.01
189,Davila,PH,2022-04-15 00:35:08,18.4726,120.5763,80.58,64,2,9.44
190,Narsaq,GL,2022-04-15 00:35:09,60.9167,-46.05,35.82,93,100,3.24
191,Manta,EC,2022-04-15 00:35:09,-0.95,-80.7333,78.58,73,75,8.05
192,Upernavik,GL,2022-04-15 00:35:09,72.7868,-56.1549,-16.85,99,44,6.55
193,Guerrero Negro,MX,2022-04-15 00:35:10,27.9769,-114.0611,62.28,68,100,21.68
194,Raudeberg,NO,2022-04-15 00:35:10,61.9875,5.1352,43.47,70,4,7.74
195,Shangrao,CN,2022-04-15 00:35:11,28.4532,117.9686,64.08,73,100,11.77
196,Dingle,PH,2022-04-15 00:35:11,10.9995,122.6711,82.35,75,100,2.68
197,Bengkulu,ID,2022-04-15 00:35:11,-3.8004,102.2655,77.25,89,100,2.86
198,Mount Gambier,AU,2022-04-15 00:35:12,-37.8333,140.7667,69.71,52,100,6.91
199,Zaysan,KZ,2022-04-15 00:35:12,47.4667,84.8667,44.13,25,0,2.06
200,Berberati,CF,2022-04-15 00:35:13,4.2612,15.7922,66.42,98,100,3.27
201,Portland,US,2022-04-15 00:35:07,45.5234,-122.6762,47.61,83,75,4.0
202,Payson,US,2022-04-15 00:35:13,40.0444,-111.7321,56.68,24,75,8.99
203,Coahuayana,MX,2022-04-15 00:35:13,18.7333,-103.6833,75.67,67,100,3.15
204,Torbay,CA,2022-04-15 00:30:14,47.6666,-52.7314,30.58,82,20,13.8
205,Astana,KZ,2022-04-15 00:35:14,51.1801,71.446,33.75,80,0,8.95
206,Chumikan,RU,2022-04-15 00:35:14,54.7183,135.315,32.76,81,83,15.28
207,Ullapool,GB,2022-04-15 00:35:15,57.8987,-5.1604,51.35,87,100,4.16
208,Khatanga,RU,2022-04-15 00:35:15,71.9667,102.5,-4.54,97,80,3.04
209,Mozarlandia,BR,2022-04-15 00:35:15,-14.7447,-50.5706,80.74,63,81,2.82
210,Sitka,US,2022-04-15 00:35:16,57.0531,-135.33,46.29,36,0,8.05
211,Malvern,US,2022-04-15 00:35:16,34.3623,-92.813,69.31,54,0,3.4
212,Tasiilaq,GL,2022-04-15 00:35:16,65.6145,-37.6368,32.16,99,100,6.62
213,Kavaratti,IN,2022-04-15 00:35:17,10.5669,72.642,82.69,73,54,6.22
214,Chuy,UY,2022-04-15 00:35:13,-33.6971,-53.4616,52.9,75,0,7.11
215,Paranhos,BR,2022-04-15 00:35:17,-23.8928,-55.4311,55.4,83,0,3.11
216,Boa Vista,BR,2022-04-15 00:35:18,2.8197,-60.6733,85.98,58,75,14.97
217,Oranjemund,NA,2022-04-15 00:35:18,-28.55,16.4333,58.01,83,100,16.28
218,Bilibino,RU,2022-04-15 00:32:20,68.0546,166.4372,27.03,83,100,4.43
219,Turayf,SA,2022-04-15 00:35:19,31.6725,38.6637,53.85,35,0,11.5
220,Jardim,BR,2022-04-15 00:35:19,-21.4803,-56.1381,65.25,66,0,6.2
221,San Javier,ES,2022-04-15 00:35:19,37.8063,-0.8374,62.22,50,7,3.0
222,Nemuro,JP,2022-04-15 00:35:20,43.3236,145.575,33.73,95,100,6.53
223,Qingdao,CN,2022-04-15 00:36:20,36.0986,120.3719,51.4,58,0,8.95
224,Domoni,KM,2022-04-15 00:36:20,-12.2569,44.5319,79.02,84,0,4.23
225,Tabuk,PH,2022-04-15 00:36:21,17.4189,121.4443,79.65,76,45,6.06
226,Lebu,CL,2022-04-15 00:36:21,-37.6167,-73.65,51.17,92,0,4.94
227,Tura,IN,2022-04-15 00:36:21,25.5198,90.2201,74.05,88,25,7.78
228,Achi,CO,2022-04-15 00:36:22,8.5682,-74.554,79.36,86,100,2.51
229,Colares,PT,2022-04-15 00:36:22,38.7992,-9.4469,56.75,74,0,23.0
230,Poum,NC,2022-04-15 00:36:22,-20.2333,164.0167,76.55,87,100,9.89
231,Yenagoa,NG,2022-04-15 00:36:23,4.9247,6.2642,77.05,90,100,2.68
232,Sao Joao Da Barra,BR,2022-04-15 00:36:23,-21.6403,-41.0511,74.84,91,99,12.08
233,Lianzhou,CN,2022-04-15 00:36:24,24.7811,112.3825,69.28,78,92,2.21
234,Muhororo,UG,2022-04-15 00:36:24,0.9381,30.7594,63.16,100,100,1.81
235,Mirabad,AF,2022-04-15 00:36:24,30.4362,61.8383,77.81,11,0,2.21
236,Starokostyantyniv,UA,2022-04-15 00:36:25,49.7576,27.2034,44.98,68,98,7.0
237,Rundu,NA,2022-04-15 00:36:25,-17.9333,19.7667,64.45,79,6,2.68
238,Ahipara,NZ,2022-04-15 00:36:26,-35.1667,173.1667,68.2,52,17,5.06
239,Nador,MA,2022-04-15 00:36:26,35.174,-2.9287,61.05,63,0,6.91
240,Limuru,KE,2022-04-15 00:36:26,-1.1,36.65,57.63,91,100,5.68
241,Alexandria,EG,2022-04-15 00:35:35,31.2156,29.9553,55.36,76,0,4.61
242,Muros,ES,2022-04-15 00:36:27,42.7762,-9.0603,51.84,88,1,5.82
243,San Jacinto,US,2022-04-15 00:36:27,33.7839,-116.9586,71.82,26,0,10.0
244,Fairbanks,US,2022-04-15 00:33:51,64.8378,-147.7164,46.36,31,0,0.0
245,Walvis Bay,NA,2022-04-15 00:36:27,-22.9575,14.5053,58.08,94,4,9.22
246,Rassvet,RU,2022-04-15 00:36:28,46.8333,40.75,45.88,100,100,1.34
247,Yumen,CN,2022-04-15 00:36:28,40.2833,97.2,45.93,15,16,8.43
248,Caravelas,BR,2022-04-15 00:36:28,-17.7125,-39.2481,79.83,84,35,8.95
249,Kolar,IN,2022-04-15 00:36:29,13.1333,78.1333,68.76,69,100,1.9
250,Camacha,PT,2022-04-15 00:36:29,33.0833,-16.3333,58.42,77,75,9.22
251,Cuautlalpan,MX,2022-04-15 00:36:30,19.4373,-98.905,80.4,26,75,11.5
252,Deputatskiy,RU,2022-04-15 00:34:03,69.3,139.9,4.41,88,21,2.19
253,Sao Felix Do Xingu,BR,2022-04-15 00:36:30,-6.6447,-51.995,72.99,96,94,1.1
254,Sangmelima,CM,2022-04-15 00:36:30,2.9333,11.9833,67.96,99,98,2.53
255,Los Llanos De Aridane,ES,2022-04-15 00:36:31,28.6585,-17.9182,58.75,91,0,10.36
256,Okhotsk,RU,2022-04-15 00:36:31,59.3833,143.3,22.14,64,50,12.68
257,Vila Velha,BR,2022-04-15 00:36:31,-20.3297,-40.2925,78.75,92,75,4.61
258,Grand Gaube,MU,2022-04-15 00:36:32,-20.0064,57.6608,78.39,78,78,5.01
259,Vostochnyy,RU,2022-04-15 00:36:32,55.8167,37.8667,37.67,78,100,4.72
260,Roebourne,AU,2022-04-15 00:36:33,-20.7833,117.1333,90.39,35,2,20.78
261,Baruun-Urt,MN,2022-04-15 00:36:33,46.6806,113.2792,41.38,24,0,16.8
262,Ahuimanu,US,2022-04-15 00:36:33,21.4447,-157.8378,83.91,62,40,23.02
263,Chicama,PE,2022-04-15 00:36:34,-7.8447,-79.1469,63.14,77,100,6.98
264,Banikoara,BJ,2022-04-15 00:36:34,11.2985,2.4386,81.25,52,100,9.4
265,Codrington,AU,2022-04-15 00:36:34,-38.2667,141.9667,62.02,75,100,5.17
266,Airai,TL,2022-04-15 00:37:35,-8.9266,125.4092,73.0,61,19,2.3
267,Rio Gallegos,AR,2022-04-15 00:37:35,-51.6226,-69.2181,51.85,71,0,4.61
268,Provideniya,RU,2022-04-15 00:37:35,64.3833,-173.3,33.91,86,100,15.99
269,Puerto Quijarro,BO,2022-04-15 00:37:36,-17.7833,-57.7667,74.95,67,13,4.36
270,Sinnamary,GF,2022-04-15 00:37:36,5.3833,-52.95,77.88,85,100,12.39
271,Huarmey,PE,2022-04-15 00:37:36,-10.0681,-78.1522,67.86,85,44,11.03
272,Dhandhuka,IN,2022-04-15 00:37:37,22.3667,71.9833,80.69,47,0,6.93
273,Dzaoudzi,YT,2022-04-15 00:37:37,-12.7887,45.2699,82.29,83,20,9.22
274,Say,NE,2022-04-15 00:37:38,13.1007,2.3689,93.76,42,39,12.86
275,Nisia Floresta,BR,2022-04-15 00:37:38,-6.0911,-35.2086,81.41,88,92,4.72
276,Ketou,BJ,2022-04-15 00:37:38,7.3633,2.5998,77.76,85,98,5.12
277,Lumut,MY,2022-04-15 00:37:39,4.2323,100.6298,77.02,94,20,1.14
278,Sao Filipe,CV,2022-04-15 00:37:39,14.8961,-24.4956,70.52,75,1,7.92
279,Dinguiraye,GN,2022-04-15 00:37:39,11.3,-10.7167,84.51,31,60,4.65
280,Sri Aman,MY,2022-04-15 00:37:40,1.2376,111.4621,78.85,94,40,0.0
281,Hirara,JP,2022-04-15 00:37:40,24.8,125.2833,73.67,88,75,27.63
282,Sao Miguel Do Araguaia,BR,2022-04-15 00:34:47,-13.275,-50.1628,74.34,83,71,2.55
283,Fukue,JP,2022-04-15 00:37:40,32.6881,128.8419,57.56,88,75,26.46
284,Biskamzha,RU,2022-04-15 00:37:41,53.4497,89.5272,34.66,55,3,2.1
285,Sandwick,GB,2022-04-15 00:37:41,60.0,-1.25,42.62,87,20,6.91
286,Cabedelo,BR,2022-04-15 00:37:42,-6.9811,-34.8339,81.27,81,31,9.28
287,Mendi,PG,2022-04-15 00:37:42,-6.1761,143.6513,72.25,50,100,3.4
288,Flin Flon,CA,2022-04-15 00:35:53,54.7682,-101.865,15.64,79,100,13.96
289,Port Elizabeth,ZA,2022-04-15 00:36:48,-33.918,25.5701,63.1,86,40,21.85
290,Beloit,US,2022-04-15 00:37:42,42.5084,-89.0318,44.69,42,75,26.46
291,Hobyo,SO,2022-04-15 00:37:43,5.3505,48.5268,81.41,74,90,12.88
292,Ulagan,RU,2022-04-15 00:37:43,50.6321,87.9563,25.43,53,0,3.78
293,Dumabato,PH,2022-04-15 00:37:44,16.3167,121.7,76.69,88,70,2.71
294,Zhanaozen,KZ,2022-04-15 00:37:44,43.3,52.8,49.69,52,12,7.72
