City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
383,Whitehorse,CA,60.7161,-135.0538,30.02,58,100,0.83,overcast clouds
384,Encruzilhada Do Sul,BR,-30.5439,-52.5219,60.64,73,96,7.58,moderate rain
385,North Bend,US,43.4065,-124.2243,56.25,77,0,10.36,clear sky
386,Mareeba,AU,-17.0,145.4333,70.52,93,97,1.83,overcast clouds
387,Te Anau,NZ,-45.4167,167.7167,48.69,85,36,1.1,scattered clouds
388,Sobolevo,RU,54.4299,31.8996,34.59,72,96,11.41,overcast clouds
389,Otjiwarongo,NA,-20.4637,16.6477,69.17,59,86,4.54,overcast clouds
390,Faya,SA,18.3851,42.4509,66.72,37,58,7.74,broken clouds
391,Bousso,TD,10.4795,16.7117,90.7,39,66,6.08,broken clouds
392,Malm,NO,64.0721,11.2172,37.29,96,82,1.54,broken clouds
393,Palora,EC,-1.7,-77.9333,71.71,93,99,1.86,moderate rain
394,Taonan,CN,45.3333,122.7833,38.41,46,3,7.02,clear sky
395,Howard Springs,AU,-12.497,131.047,78.71,99,49,3.2,scattered clouds
396,Kontagora,NG,10.3999,5.4695,86.45,50,86,8.57,overcast clouds
397,Torit,SS,4.4133,32.5678,77.59,58,81,4.09,broken clouds
398,Namibe,AO,-15.1961,12.1522,75.27,72,24,2.93,few clouds
399,Yumen,CN,40.2833,97.2,41.65,27,0,7.09,clear sky
400,Poya,NC,-21.35,165.15,75.07,72,91,1.61,overcast clouds
401,Gunjur,GM,13.2019,-16.7339,69.12,83,4,17.87,clear sky
402,Kaeo,NZ,-35.1,173.7833,67.32,98,100,17.18,overcast clouds
403,Kavaratti,IN,10.5669,72.642,83.34,74,59,4.88,broken clouds
404,Maceio,BR,-9.6658,-35.7353,80.04,83,40,6.91,scattered clouds
405,Mahon,ES,39.8885,4.2658,52.36,82,0,2.3,clear sky
406,Basco,PH,20.4487,121.9702,76.41,73,100,18.59,overcast clouds
407,Marrakesh,MA,31.6315,-8.0083,80.67,28,0,11.5,clear sky
408,Boddam,GB,57.4667,-1.7833,46.78,87,100,18.99,overcast clouds
409,Belmonte,BR,-15.8631,-38.8828,77.43,75,100,14.76,overcast clouds
410,Ishigaki,JP,24.3448,124.1572,71.28,71,95,7.96,overcast clouds
411,Turayf,SA,31.6725,38.6637,68.9,13,0,12.44,clear sky
412,Anadyr,RU,64.75,177.4833,32.49,86,75,24.61,light snow
413,Shetpe,KZ,44.1667,52.1167,57.24,52,7,4.47,clear sky
414,Abhar,IR,36.1468,49.218,42.78,66,0,7.07,clear sky
415,Filadelfia,US,39.9523,-75.1638,53.51,36,40,19.57,scattered clouds
416,Belomorsk,RU,64.5232,34.7668,35.47,98,100,4.14,overcast clouds
417,Kattivakkam,IN,13.2167,80.3167,86.09,87,34,3.83,scattered clouds
418,Ampanihy,MG,-24.7,44.75,72.09,88,86,9.26,overcast clouds
419,Alice Springs,AU,-23.7,133.8833,69.22,32,18,5.75,few clouds
420,Virginia Beach,US,36.8529,-75.978,61.05,59,75,9.22,broken clouds
421,Ketchikan,US,55.3422,-131.6461,48.67,46,40,9.22,scattered clouds
422,Sorland,NO,67.667,12.6934,42.67,84,100,16.37,overcast clouds
423,Rio Gallegos,AR,-51.6226,-69.2181,59.05,51,0,11.5,clear sky
424,Lianzhou,CN,24.7811,112.3825,54.66,97,100,3.94,overcast clouds
425,Muswellbrook,AU,-32.2667,150.9,52.32,92,34,3.24,scattered clouds
426,Viedma,AR,-40.8135,-62.9967,67.78,55,2,12.19,clear sky
427,Tuatapere,NZ,-46.1333,167.6833,48.27,85,8,4.94,clear sky
428,Ust-Nera,RU,64.5667,143.2,8.87,98,98,2.44,overcast clouds
429,Chumikan,RU,54.7183,135.315,13.33,94,50,6.55,scattered clouds
430,Bosaso,SO,11.2842,49.1816,84.0,67,1,4.38,clear sky
431,Tommot,RU,58.9564,126.2925,20.59,83,100,4.34,overcast clouds
432,Port Macquarie,AU,-31.4333,152.9167,59.9,91,17,4.03,few clouds
433,Flinders,AU,-34.5833,150.8552,61.38,85,82,3.0,broken clouds
434,Ixtapa,MX,20.7,-105.2,79.83,65,40,16.11,scattered clouds
435,Uyuni,BO,-20.4597,-66.825,56.43,8,1,17.56,clear sky
436,Korla,CN,41.7597,86.1469,55.9,15,2,6.71,clear sky
437,Santa Cruz Del Sur,CU,20.7147,-77.9956,81.54,64,0,9.6,clear sky
438,Beian,NO,63.6559,9.5683,46.99,71,0,10.36,clear sky
439,Half Moon Bay,US,37.4636,-122.4286,68.88,61,0,18.41,clear sky
440,Tura,IN,25.5198,90.2201,67.71,82,0,4.76,clear sky
441,Kashiwazaki,JP,37.3667,138.55,49.8,78,52,5.28,broken clouds
442,Khamamatyurt,RU,43.6081,46.5006,48.63,86,42,11.14,scattered clouds
443,Umm Lajj,SA,25.0213,37.2685,83.84,35,100,7.09,overcast clouds
444,Warmbad,NA,-28.45,18.7333,71.24,26,0,5.84,clear sky
445,Hualmay,PE,-11.0964,-77.6139,70.45,75,8,11.21,clear sky
446,Stephenville Crossing,CA,48.5,-58.4318,45.21,88,98,16.22,overcast clouds
447,Nokaneng,BW,-19.6667,22.2667,69.51,77,37,2.21,moderate rain
448,Gamba,GA,-2.65,10.0,77.97,90,100,4.34,overcast clouds
449,Digha,IN,21.6833,87.55,80.46,87,27,15.52,scattered clouds
450,Seabra,BR,-12.4186,-41.7703,68.99,90,100,5.95,overcast clouds
451,Kloulklubed,PW,7.0419,134.2556,73.9,72,98,1.79,overcast clouds
452,Tefe,BR,-3.3542,-64.7114,82.51,89,20,3.44,few clouds
453,Pevek,RU,69.7008,170.3133,3.76,92,30,2.06,scattered clouds
454,Deniliquin,AU,-35.5333,144.9667,67.48,46,100,6.31,light rain
455,Tabou,CI,4.423,-7.3528,76.93,84,100,2.19,overcast clouds
456,Penzance,GB,50.1186,-5.5371,50.41,87,3,17.69,clear sky
457,Banda Aceh,ID,5.5577,95.3222,78.78,80,79,4.45,broken clouds
458,Chipata,ZM,-13.6333,32.65,63.21,97,19,4.68,few clouds
459,Monrovia,LR,6.3005,-10.7969,78.57,81,100,9.8,overcast clouds
460,Saint-Georges,GD,12.0564,-61.7485,80.15,75,97,15.66,overcast clouds
461,Sandakan,MY,5.8402,118.1179,75.94,88,56,0.6,broken clouds
